device;loading_datetime;GPU_temp_celsius;CPU_temp_celsius;frequency_arm_hz;frequency_core_hz;frequency_pwm_hz;voltage_core_v;voltage_sdram_c_v;voltage_sdram_i_v;voltage_sdram_p_v;memory_arm_bytes;memory_gpu_bytes;throttled
raspberry-pi-4b;2022-10-06@18:27:12;774;77906;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:27:30;784;78393;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:27:48;798;78393;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:28:10;803;79854;1800457088;500000992;107143064;946;11;11;11;994050048;79691776;0x0
raspberry-pi-4b;2022-10-06@18:28:50;823;82289;1775408256;333333984;107143064;9405;11;11;11;994050048;79691776;0x80000
raspberry-pi-4b;2022-10-06@18:29:18;823;82289;1677427712;333333984;107143064;9405;11;11;11;994050048;79691776;0x80008
raspberry-pi-4b;2022-10-06@18:29:21;832;83263;1677427712;333333984;107143064;9189;11;11;11;994050048;79691776;0x80008
raspberry-pi-4b;2022-10-06@18:29:50;827;83263;1726470656;333320800;107143064;9297;11;11;11;994050048;79691776;0x80008
raspberry-pi-4b;2022-10-06@18:30:01;837;8375;1775460992;333333984;107143064;9297;11;11;11;994050048;79691776;0x80008
raspberry-pi-4b;2022-10-06@18:30:10;818;81802;1800457088;499987808;107143064;946;11;11;11;994050048;79691776;0x80000
raspberry-pi-4b;2022-10-06@18:30:13;818;82289;1800404352;500000992;107143064;946;11;11;11;994050048;79691776;0x80008
raspberry-pi-4b;2022-10-06@18:30:59;832;83263;1677427712;333333984;107143064;9084;11;11;11;994050048;79691776;0x80008
raspberry-pi-4b;2022-10-06@18:31:08;827;83263;1726417920;333333984;107143064;9297;11;11;11;994050048;79691776;0x80008
raspberry-pi-4b;2022-10-06@18:31:12;832;83263;1726417920;333333984;107143064;9297;11;11;11;994050048;79691776;0x80008
raspberry-pi-4b;2022-10-06@18:31:17;832;82289;1629386752;333333984;107143064;9189;11;11;11;994050048;79691776;0x80008
raspberry-pi-4b;2022-10-06@18:31:24;832;82776;1677427712;333333984;107143064;9189;11;11;11;994050048;79691776;0x80008
raspberry-pi-4b;2022-10-06@18:31:49;837;83263;1677427712;333333984;107143064;9189;11;11;11;994050048;79691776;0x80008
raspberry-pi-4b;2022-10-06@18:32:10;832;83263;1677374976;333333984;107143064;9189;11;11;11;994050048;79691776;0x80008
raspberry-pi-4b;2022-10-06@18:32:48;837;8375;1629439488;333333984;107143064;9084;11;11;11;994050048;79691776;0xe0008
raspberry-pi-4b;2022-10-06@18:33:00;837;8375;1629386752;333333984;107143064;9084;11;11;11;994050048;79691776;0xe0008
raspberry-pi-4b;2022-10-06@18:33:03;837;83263;1677427712;333333984;107143064;9189;11;11;11;994050048;79691776;0xe0008
raspberry-pi-4b;2022-10-06@18:33:08;842;82776;1580343808;333333984;107143064;8976;11;11;11;994050048;79691776;0xe0008
